SKU,Medication Name,Category,Strength,Dosage Form,Brand Name,Purchase Price (₦),Selling Price (₦),Current Stock,Reorder Level,Batch Number,Supplier,Warehouse Location,Expiry Date
SKU00428,Tinidazole,Antifungal,150mg,Tablet,Emzor,7587,11004.43,456,97,BT597398,Swiss Pharma Nigeria,A3,2030-05-02
SKU00429,Enoxaparin,Anticoagulant,2.5mg,Injection,Fidson,6601,9697.69,646,77,BT714112,Evans Medical,D1,2028-04-09
SKU00430,Budesonide,Respiratory,200mcg,Tablet,Juhel,12894,20542.1,171,44,BT550046,May & Baker Nigeria,D1,2027-08-24
SKU00431,Levothyroxine,General Medicine,25mg,Tablet,Fidson,10327,12588.99,849,49,BT928195,Swiss Pharma Nigeria,A3,2028-06-19
SKU00432,Vitamin C,General Medicine,25mg,Tablet,Juhel,15266,23808.16,112,47,BT540487,May & Baker Nigeria,C1,2028-08-28
SKU00433,Isoniazid,Antibiotic,625mg,Tablet,GSK,11692,14968.59,879,99,BT283991,Drugfield Pharmaceuticals,D3,2027-10-20
SKU00434,Esomeprazole,Antifungal,150mg,Cream,Swiss Pharma,14108,18180.88,244,86,BT912637,Evans Medical,A3,2028-12-26
SKU00435,Imipenem,Antibiotic,625mg,Injection,Fidson,4784,7036.41,130,82,BT896760,Fidson Healthcare,A3,2028-01-12
SKU00436,Apixaban,Anticoagulant,2.5mg,Tablet,Swiss Pharma,16701,25525.67,789,39,BT941100,Swiss Pharma Nigeria,A1,2028-12-07
SKU00437,Alprazolam,Psychiatric,50mg,Tablet,Juhel,8464,10270.68,549,78,BT249914,May & Baker Nigeria,B1,2029-02-07
SKU00438,Enoxaparin,Anticoagulant,40mg,Injection,Juhel,10388,15435.37,751,88,BT900736,Swiss Pharma Nigeria,C1,2028-06-11
SKU00439,Bisoprolol,Antihypertensive,2.5mg,Tablet,May & Baker,8154,11533.73,925,45,BT232775,Swiss Pharma Nigeria,D2,2027-07-08
SKU00440,Metronidazole,Antifungal,100mg,Tablet,Emzor,3991,6215.52,63,22,BT766758,Swiss Pharma Nigeria,B3,2029-08-31
SKU00441,Clarithromycin,Antibiotic,625mg,Suspension,Emzor,15227,20354.88,449,25,BT180883,Evans Medical,B1,2027-01-15
SKU00442,Dapagliflozin,Antidiabetic,500mg,Tablet,Drugfield,12447,16380.63,492,75,BT172403,Evans Medical,D1,2027-05-31
SKU00443,Linezolid,Antibiotic,625mg,Tablet,Juhel,13301,17895.85,438,37,BT342930,Drugfield Pharmaceuticals,B3,2028-06-02
SKU00444,Alprazolam,Psychiatric,100mg,Tablet,GSK,11261,17078.99,408,46,BT147382,Swiss Pharma Nigeria,D3,2027-06-17
SKU00445,Esomeprazole,Antifungal,150mg,Tablet,Juhel,11590,14877.41,752,49,BT837408,Drugfield Pharmaceuticals,C2,2029-05-31
SKU00446,Insulin Glargine,Antidiabetic,25mg,Injection,Fidson,2457,3740.82,145,90,BT643754,Swiss Pharma Nigeria,A3,2028-05-16
SKU00447,Codeine,Analgesic,1000mg,Tablet,Pfizer,10478,15953.1,918,90,BT259378,Drugfield Pharmaceuticals,A3,2028-06-12
SKU00448,Ethambutol,Antibiotic,250mg,Suspension,Neimeth,12447,17218.74,265,51,BT660513,Emzor Pharmaceuticals,A1,2027-04-13
SKU00449,Meropenem,Antibiotic,500mg,Injection,Drugfield,13901,17771.06,861,31,BT650595,Emzor Pharmaceuticals,A3,2029-04-01
SKU00450,Ciprofloxacin,Antibiotic,1g,Injection,Neimeth,5096,6225.64,793,50,BT177987,Fidson Healthcare,B1,2026-12-18
SKU00451,Escitalopram,Psychiatric,100mg,Tablet,Drugfield,16910,21756.7,869,46,BT525294,Emzor Pharmaceuticals,D3,2028-10-01
SKU00452,Clonazepam,Psychiatric,100mg,Tablet,Neimeth,10425,16125.65,119,28,BT439062,Fidson Healthcare,C1,2029-12-09
SKU00453,Dapagliflozin,Antidiabetic,1000mg,Injection,Drugfield,8629,12330.55,36,36,BT586628,Evans Medical,C1,2028-09-26
SKU00454,Mirtazapine,Psychiatric,10mg,Tablet,Swiss Pharma,5184,6241.04,653,72,BT129050,Evans Medical,A1,2028-05-04
SKU00455,Oxybutynin,General Medicine,25mg,Capsule,Pfizer,7560,10795.72,61,43,BT515991,Fidson Healthcare,C2,2030-06-26
SKU00456,Oxybutynin,General Medicine,25mg,Tablet,GSK,19469,26924.96,259,56,BT429873,Fidson Healthcare,B3,2028-05-28
SKU00457,Tamsulosin,General Medicine,50mg,Tablet,Drugfield,8053,12280.32,244,55,BT205165,Emzor Pharmaceuticals,C3,2027-10-15
SKU00458,Aluminium Hydroxide,General Medicine,100mg,Tablet,Neimeth,14284,20361.58,396,66,BT243767,Emzor Pharmaceuticals,D3,2028-05-08
SKU00459,Lansoprazole,Antifungal,500mg,Tablet,Emzor,3596,4643.26,946,87,BT743358,Fidson Healthcare,C1,2029-04-18
SKU00460,Pilocarpine,General Medicine,10mg,Tablet,May & Baker,1369,1650.39,317,30,BT955915,Emzor Pharmaceuticals,D1,2028-02-17
SKU00461,Terbutaline,Respiratory,4mg,Nebule,Emzor,1898,2533.47,76,57,BT226816,Evans Medical,D1,2029-11-13
SKU00462,Hydroxychloroquine,Antimalarial,200mg,Injection,Emzor,19061,28666.4,254,76,BT169096,Swiss Pharma Nigeria,A3,2030-04-12
SKU00463,Valsartan,Antihypertensive,50mg,Tablet,Juhel,18736,22878.27,655,54,BT158927,Fidson Healthcare,C3,2030-06-13
SKU00464,Ethambutol,Antibiotic,500mg,Suspension,Pfizer,4844,6124.15,990,76,BT948890,Drugfield Pharmaceuticals,A2,2030-04-11
SKU00465,Risperidone,Psychiatric,10mg,Tablet,Pfizer,19187,25948.92,425,29,BT768397,Drugfield Pharmaceuticals,B1,2029-07-31
SKU00466,Ethambutol,Antibiotic,500mg,Capsule,Drugfield,19881,30618.64,506,94,BT283811,May & Baker Nigeria,A3,2028-08-12
SKU00467,Linezolid,Antibiotic,250mg,Suspension,Drugfield,1208,1512.66,810,88,BT385153,Emzor Pharmaceuticals,C1,2029-04-20
SKU00468,Loratadine,Antihistamine,10mg,Syrup,Swiss Pharma,1614,1993.84,600,89,BT157782,Fidson Healthcare,B3,2028-06-15
SKU00469,Diazepam,Psychiatric,5mg,Tablet,Drugfield,9678,14349.18,543,56,BT777657,Drugfield Pharmaceuticals,D1,2027-06-24
SKU00470,Terbutaline,Respiratory,2mg,Tablet,Evans,9202,12980.3,824,40,BT504339,May & Baker Nigeria,B2,2030-03-20
SKU00471,Ketoconazole,Antifungal,100mg,Tablet,Pfizer,8749,13636.78,642,91,BT872381,Swiss Pharma Nigeria,D3,2027-03-27
SKU00472,Empagliflozin,Antidiabetic,850mg,Injection,GSK,15083,23802.82,670,47,BT268786,Fidson Healthcare,C2,2029-07-30
SKU00473,Oseltamivir,Antiviral,200mg,Tablet,Evans,7529,11379.23,701,71,BT602550,Fidson Healthcare,C1,2027-11-22
SKU00474,Terbutaline,Respiratory,200mcg,Tablet,Fidson,16129,19450.54,594,94,BT699466,Emzor Pharmaceuticals,D2,2030-06-16
SKU00475,Sulfasalazine,General Medicine,25mg,Tablet,Drugfield,10662,13353.17,325,49,BT975103,Drugfield Pharmaceuticals,B1,2028-07-21
SKU00476,Dorzolamide,General Medicine,5mg,Tablet,Emzor,2777,3759.95,692,100,BT750082,May & Baker Nigeria,B3,2027-08-10
SKU00477,Rivastigmine,General Medicine,5mg,Tablet,May & Baker,8926,10606.83,260,37,BT979890,Emzor Pharmaceuticals,A1,2029-05-02
SKU00478,Tetracycline,Antibiotic,1g,Suspension,Fidson,15195,22510.06,256,71,BT395113,May & Baker Nigeria,A3,2029-08-22
SKU00479,Oxybutynin,General Medicine,25mg,Tablet,May & Baker,253,367.33,277,36,BT335108,May & Baker Nigeria,C2,2027-07-14
SKU00480,Dabigatran,Anticoagulant,20mg,Injection,GSK,190,286.07,794,35,BT485819,Drugfield Pharmaceuticals,C1,2028-04-02
SKU00481,Lisinopril,Antihypertensive,100mg,Tablet,Drugfield,7091,9494.02,625,37,BT653462,Evans Medical,C1,2029-07-24
SKU00482,Paroxetine,Psychiatric,5mg,Tablet,May & Baker,6913,8813.6,842,48,BT877154,Swiss Pharma Nigeria,D1,2027-02-28
SKU00483,Paracetamol,Analgesic,1000mg,Injection,Evans,12113,17163.83,572,97,BT152994,Fidson Healthcare,A2,2027-08-09
SKU00484,Pyrimethamine,Antimalarial,100mg,Tablet,Drugfield,12277,17235.37,74,47,BT374021,Evans Medical,A2,2028-04-24
SKU00485,Ferrous Sulphate,General Medicine,5mg,Capsule,Drugfield,13329,19237.49,20,23,BT651975,May & Baker Nigeria,D1,2029-07-25
SKU00486,Pioglitazone,Antidiabetic,10mg,Tablet,Evans,2002,2934.24,572,58,BT893042,Drugfield Pharmaceuticals,C2,2028-07-05
SKU00487,Lorazepam,Psychiatric,50mg,Tablet,Juhel,16663,25920.09,399,23,BT409935,Drugfield Pharmaceuticals,D2,2028-07-24
SKU00488,Loperamide,General Medicine,25mg,Tablet,GSK,13357,17207.42,596,45,BT836476,Emzor Pharmaceuticals,B2,2027-01-04
SKU00489,Metronidazole,Antifungal,200mg,Capsule,Evans,13248,19737.75,264,36,BT922740,Fidson Healthcare,A1,2028-08-23
SKU00490,Ramipril,Antihypertensive,25mg,Tablet,Emzor,2040,2589.24,502,36,BT799685,May & Baker Nigeria,C1,2028-01-23
SKU00491,Levetiracetam,Antiepileptic,200mg,Capsule,Pfizer,3992,6379.9,55,20,BT742482,Evans Medical,D2,2029-09-03
SKU00492,Ketoconazole,Antifungal,100mg,Cream,May & Baker,1512,2407.58,563,75,BT717948,Evans Medical,A1,2027-09-04
SKU00493,Domperidone,General Medicine,5mg,Capsule,May & Baker,10195,13583.03,433,88,BT730929,Fidson Healthcare,C3,2029-12-01
SKU00494,Cyclophosphamide,General Medicine,25mg,Tablet,Evans,2153,2507.23,260,82,BT297893,Drugfield Pharmaceuticals,A2,2027-03-04
SKU00495,Insulin Glargine,Antidiabetic,500mg,Injection,May & Baker,8407,13036.77,852,59,BT644663,May & Baker Nigeria,B1,2028-07-07
SKU00496,Tetracycline,Antibiotic,125mg,Capsule,Neimeth,4957,6703.99,618,75,BT579885,Evans Medical,C3,2028-03-01
SKU00497,Atenolol,Antihypertensive,50mg,Tablet,Pfizer,15066,19450.77,571,38,BT598443,Emzor Pharmaceuticals,B3,2026-12-11
SKU00498,Omeprazole,Antifungal,100mg,Tablet,GSK,10041,11578.29,783,78,BT439972,Swiss Pharma Nigeria,A1,2027-10-12
SKU00499,Nitroglycerin,General Medicine,50mg,Tablet,Fidson,19295,25382.22,518,75,BT192875,Evans Medical,D2,2027-08-19
SKU00500,Beclometasone,Respiratory,200mcg,Tablet,Fidson,11472,14596.08,16,28,BT712426,Drugfield Pharmaceuticals,C2,2027-10-02
SKU00501,Memantine,General Medicine,100mg,Tablet,Drugfield,3759,5784.49,886,87,BT224058,Emzor Pharmaceuticals,C2,2029-04-11
SKU00502,Memantine,General Medicine,10mg,Capsule,Juhel,1772,2545.8,901,94,BT634117,Drugfield Pharmaceuticals,C2,2027-12-15
SKU00503,Montelukast,Respiratory,100mcg,Tablet,GSK,14187,19179.25,870,37,BT777174,Swiss Pharma Nigeria,C2,2028-03-26
SKU00504,Rifampicin,Antibiotic,250mg,Suspension,Drugfield,15395,24031.29,579,90,BT725860,Drugfield Pharmaceuticals,B3,2028-01-26
SKU00505,Pilocarpine,General Medicine,10mg,Tablet,Juhel,2829,3997.7,469,67,BT703098,May & Baker Nigeria,D1,2028-05-05
SKU00506,Pyrimethamine,Antimalarial,50mg,Tablet,May & Baker,4893,6343.35,643,46,BT549849,Emzor Pharmaceuticals,B1,2027-07-11
SKU00507,Chloroquine,Antimalarial,20/120mg,Tablet,Emzor,13758,20123.98,847,69,BT457330,Emzor Pharmaceuticals,A2,2027-10-03
SKU00508,Alprazolam,Psychiatric,25mg,Tablet,Drugfield,6504,8754.25,501,78,BT593083,Fidson Healthcare,D1,2028-01-24
SKU00509,Cefuroxime,Antibiotic,1g,Tablet,GSK,10871,16303.97,337,53,BT402887,Evans Medical,B2,2028-11-27
SKU00510,Salbutamol,Respiratory,4mg,Nebule,Emzor,17620,25420.75,965,84,BT130247,Fidson Healthcare,B2,2030-06-04
SKU00511,Mebendazole,Antifungal,100mg,Tablet,May & Baker,16468,25235.67,361,69,BT115521,Fidson Healthcare,B3,2028-06-07
SKU00512,Paracetamol,Analgesic,650mg,Syrup,Emzor,2452,3573.93,886,71,BT380468,Fidson Healthcare,D3,2027-12-18
SKU00513,Zinc Sulphate,General Medicine,10mg,Capsule,Juhel,893,1295.21,644,62,BT480167,Swiss Pharma Nigeria,C1,2029-12-27
SKU00514,Magnesium Hydroxide,General Medicine,10mg,Tablet,GSK,10823,13561.36,204,94,BT834062,Drugfield Pharmaceuticals,C3,2027-04-28
SKU00515,Lisinopril,Antihypertensive,100mg,Tablet,May & Baker,1175,1872.17,29,79,BT747788,Evans Medical,B2,2029-11-19
SKU00516,Fexofenadine,Antihistamine,120mg,Syrup,Pfizer,624,971.47,742,91,BT540072,Drugfield Pharmaceuticals,D2,2026-12-16
SKU00517,Rivastigmine,General Medicine,10mg,Tablet,Pfizer,19354,24287.31,351,84,BT960702,Evans Medical,A3,2028-08-24
SKU00518,Insulin Glargine,Antidiabetic,25mg,Injection,May & Baker,19856,29881.21,215,50,BT258272,May & Baker Nigeria,D1,2027-08-19
SKU00519,Quetiapine,Psychiatric,25mg,Tablet,Juhel,3887,5691.09,204,78,BT777199,Emzor Pharmaceuticals,D2,2029-09-05
SKU00520,Prednisolone,Corticosteroid,4mg,Tablet,Juhel,2320,3269.36,731,78,BT661105,Evans Medical,B3,2028-10-25
SKU00521,Loperamide,General Medicine,5mg,Tablet,Juhel,5651,6642.73,599,99,BT548237,Drugfield Pharmaceuticals,D1,2026-10-25
SKU00522,Hydrochlorothiazide,Diuretic,100mg,Tablet,Neimeth,12744,15012.47,655,51,BT952953,May & Baker Nigeria,A2,2026-12-06
SKU00523,Calcium Carbonate,General Medicine,5mg,Tablet,Pfizer,10980,17023.26,483,27,BT490647,Drugfield Pharmaceuticals,C3,2028-01-15
SKU00524,Empagliflozin,Antidiabetic,10mg,Tablet,Evans,18122,25896.22,918,88,BT732812,Fidson Healthcare,C1,2028-01-02
SKU00525,Amitriptyline,Psychiatric,5mg,Tablet,Evans,5037,6989.14,125,42,BT395846,Swiss Pharma Nigeria,B2,2026-11-30
SKU00526,Famotidine,General Medicine,50mg,Capsule,May & Baker,16028,19868.05,310,86,BT401212,Fidson Healthcare,D3,2030-03-28
SKU00527,Simvastatin,Statin,80mg,Tablet,May & Baker,2431,3266.27,801,29,BT418161,Emzor Pharmaceuticals,D3,2029-06-28
SKU00528,Vitamin D3,General Medicine,5mg,Tablet,Swiss Pharma,16053,25549.99,659,36,BT531587,Evans Medical,C3,2029-04-16
SKU00529,Tazobactam,Antibiotic,625mg,Suspension,GSK,7798,10291.33,990,37,BT233143,Swiss Pharma Nigeria,A3,2027-05-08
SKU00530,Insulin Regular,Antidiabetic,850mg,Tablet,Evans,14065,21555.1,943,65,BT292218,Drugfield Pharmaceuticals,D1,2029-05-14
SKU00531,Tetracycline,Antibiotic,125mg,Injection,Emzor,13236,18185.99,638,33,BT360510,Drugfield Pharmaceuticals,B3,2027-08-28
SKU00532,Diltiazem,Antihypertensive,50mg,Tablet,Emzor,13185,19298.27,974,91,BT143987,Fidson Healthcare,C2,2030-06-28
SKU00533,Rivastigmine,General Medicine,50mg,Capsule,GSK,8112,10798.59,13,81,BT855832,Drugfield Pharmaceuticals,A3,2029-11-05
SKU00534,Metoclopramide,General Medicine,5mg,Tablet,Fidson,9348,11929.56,910,34,BT473493,Emzor Pharmaceuticals,B1,2027-11-02
SKU00535,Codeine,Analgesic,650mg,Tablet,Neimeth,1208,1666.83,384,45,BT258392,Evans Medical,B1,2029-01-21
SKU00536,Alprazolam,Psychiatric,5mg,Tablet,GSK,18858,25452.86,915,26,BT339286,May & Baker Nigeria,A1,2027-07-31
SKU00537,Quinine,Antimalarial,50mg,Injection,Fidson,14125,17014.77,767,96,BT620198,Swiss Pharma Nigeria,B2,2029-10-05
SKU00538,Brimonidine,General Medicine,100mg,Tablet,May & Baker,11015,16951.74,495,72,BT111126,Drugfield Pharmaceuticals,B1,2027-08-08
SKU00539,Atenolol,Antihypertensive,5mg,Tablet,GSK,13411,16061.1,825,64,BT708619,May & Baker Nigeria,D3,2026-11-18
SKU00540,Cimetidine,General Medicine,25mg,Tablet,May & Baker,8591,11689.09,368,44,BT702489,Drugfield Pharmaceuticals,B1,2029-05-29
SKU00541,Ipratropium,Respiratory,4mg,Tablet,Juhel,18916,25330.24,16,29,BT794021,Swiss Pharma Nigeria,B1,2027-08-12
SKU00542,Apixaban,Anticoagulant,20mg,Tablet,May & Baker,19089,24879.69,656,62,BT951378,Fidson Healthcare,C3,2027-04-03
SKU00543,Nystatin,Statin,80mg,Tablet,Drugfield,5604,7898.69,694,31,BT301413,Emzor Pharmaceuticals,D1,2027-02-22
SKU00544,Alprazolam,Psychiatric,5mg,Tablet,May & Baker,19804,28591.35,344,74,BT414153,Fidson Healthcare,C3,2028-10-25
SKU00545,Piperacillin,Antibiotic,625mg,Capsule,Evans,9023,14146.4,732,21,BT431406,May & Baker Nigeria,C2,2030-04-17
SKU00546,Magnesium Sulphate,General Medicine,25mg,Tablet,Evans,2957,3686.76,530,79,BT292811,May & Baker Nigeria,C1,2029-11-23
SKU00547,Oxybutynin,General Medicine,50mg,Tablet,Swiss Pharma,982,1241.99,751,85,BT808421,Fidson Healthcare,C1,2029-03-23
SKU00548,Gentamicin,General Medicine,100mg,Tablet,May & Baker,12020,16592.75,305,28,BT812160,Emzor Pharmaceuticals,C2,2027-10-14
SKU00549,Paroxetine,Psychiatric,25mg,Tablet,Emzor,13563,21321.66,554,70,BT287421,Emzor Pharmaceuticals,C3,2027-10-24
SKU00550,Cefotaxime,Antibiotic,250mg,Suspension,Emzor,2404,3040.04,219,94,BT717972,Fidson Healthcare,C3,2029-01-21
SKU00551,Beclometasone,Respiratory,100mcg,Inhaler,GSK,14887,21441.37,675,44,BT506708,Emzor Pharmaceuticals,C2,2028-07-24
SKU00552,Sertraline,Psychiatric,5mg,Tablet,Evans,1161,1816.42,474,41,BT453921,Evans Medical,D3,2028-06-16
SKU00553,Folic Acid,General Medicine,10mg,Tablet,Neimeth,4924,6856.41,191,57,BT156861,May & Baker Nigeria,A3,2030-04-05
SKU00554,Aspirin,General Medicine,5mg,Tablet,Emzor,8572,10808.59,62,40,BT753395,Evans Medical,A2,2030-05-27
SKU00555,Amoxicillin,Antibiotic,500mg,Injection,Drugfield,15786,19200.87,506,28,BT607659,Drugfield Pharmaceuticals,D3,2030-07-05
SKU00556,Brimonidine,General Medicine,10mg,Capsule,Pfizer,4840,6662.63,442,79,BT900111,Swiss Pharma Nigeria,A2,2029-04-23
SKU00557,Empagliflozin,Antidiabetic,10mg,Injection,Drugfield,18372,24879.26,692,53,BT158031,Drugfield Pharmaceuticals,C1,2029-04-28
SKU00558,Spironolactone,Diuretic,50mg,Tablet,Fidson,9036,13303.06,364,42,BT599306,Emzor Pharmaceuticals,C3,2027-02-05
SKU00559,Cefotaxime,Antibiotic,250mg,Suspension,Neimeth,12770,20070.9,532,32,BT911091,Swiss Pharma Nigeria,A3,2027-05-14
SKU00560,Prednisolone,Corticosteroid,40mg,Tablet,May & Baker,10073,14025.92,368,63,BT186452,Drugfield Pharmaceuticals,C1,2027-11-21
SKU00561,Carvedilol,General Medicine,25mg,Capsule,Neimeth,9348,11778.44,891,22,BT513252,Fidson Healthcare,C3,2027-06-13
SKU00562,Isoniazid,Antibiotic,1g,Capsule,May & Baker,18178,24428.09,603,29,BT883710,Emzor Pharmaceuticals,B2,2027-04-25
SKU00563,Pantoprazole,Antifungal,100mg,Capsule,Swiss Pharma,17321,24806.2,164,23,BT378319,Evans Medical,D3,2027-04-01
SKU00564,Insulin Aspart,Antidiabetic,10mg,Tablet,Evans,6144,7232.75,345,45,BT263522,Drugfield Pharmaceuticals,C1,2030-01-03
SKU00565,Diclofenac,NSAID,100mg,Tablet,Evans,3490,4153.65,496,90,BT245253,Evans Medical,D1,2029-06-25
SKU00566,Digoxin,General Medicine,10mg,Tablet,Drugfield,16905,22934.14,144,93,BT379223,Drugfield Pharmaceuticals,D2,2027-07-22
SKU00567,Morphine,Analgesic,650mg,Syrup,Swiss Pharma,18383,25555.25,17,21,BT957614,Evans Medical,C1,2029-12-24
SKU00568,Verapamil,Antihypertensive,25mg,Tablet,Juhel,19858,31305.87,4,83,BT294696,Fidson Healthcare,C3,2027-07-06
SKU00569,Heparin,Anticoagulant,40mg,Injection,Evans,17854,23813.71,403,21,BT363537,Fidson Healthcare,D3,2029-12-16
SKU00570,Nifedipine,Antihypertensive,25mg,Tablet,Juhel,6198,8731.47,406,44,BT464755,Emzor Pharmaceuticals,D2,2026-10-17
SKU00571,Haloperidol,Psychiatric,10mg,Tablet,May & Baker,8371,11066.88,367,53,BT308667,Drugfield Pharmaceuticals,A1,2027-05-25
SKU00572,Sildenafil,General Medicine,100mg,Capsule,Drugfield,1193,1537.72,624,80,BT831447,Drugfield Pharmaceuticals,B2,2027-07-13
SKU00573,Betamethasone,Corticosteroid,4mg,Cream,Juhel,10219,13446.85,756,36,BT505685,May & Baker Nigeria,C1,2027-03-21
SKU00574,Acetazolamide,General Medicine,10mg,Capsule,May & Baker,18626,28805.26,898,71,BT648081,Evans Medical,B1,2026-12-12
SKU00575,Ropinirole,General Medicine,50mg,Capsule,Drugfield,12940,18257.85,585,83,BT895296,Fidson Healthcare,A1,2029-03-14
SKU00576,Erythromycin,Antibiotic,500mg,Suspension,Emzor,18315,25240.84,495,22,BT765218,Evans Medical,D2,2028-11-16
SKU00577,Codeine,Analgesic,500mg,Syrup,Drugfield,17496,24492.38,366,58,BT928128,Drugfield Pharmaceuticals,B3,2027-07-19
SKU00578,Latanoprost,General Medicine,100mg,Capsule,May & Baker,19249,24293.34,35,56,BT630031,Fidson Healthcare,C1,2029-03-11
SKU00579,Magnesium Sulphate,General Medicine,10mg,Tablet,Fidson,9507,15074.45,932,39,BT845612,May & Baker Nigeria,B1,2027-04-03
SKU00580,Cyclophosphamide,General Medicine,100mg,Capsule,Evans,5159,6153.58,88,86,BT813548,Swiss Pharma Nigeria,B2,2027-06-09
SKU00581,Ethambutol,Antibiotic,1g,Injection,GSK,19223,28587.43,981,73,BT360143,Emzor Pharmaceuticals,D3,2029-12-31
SKU00582,Praziquantel,General Medicine,100mg,Tablet,Emzor,5609,8928.75,964,91,BT862384,Swiss Pharma Nigeria,A3,2029-02-05
SKU00583,Budesonide,Respiratory,4mg,Inhaler,Drugfield,1461,1867.85,566,59,BT957694,Evans Medical,C1,2027-01-15
SKU00584,Levodopa,General Medicine,5mg,Tablet,Neimeth,15346,24332.17,374,73,BT669328,Emzor Pharmaceuticals,C2,2026-10-30
SKU00585,Methylprednisolone,Corticosteroid,4mg,Tablet,Drugfield,8448,11658.11,955,38,BT316802,Drugfield Pharmaceuticals,A2,2028-12-07
SKU00586,Finasteride,General Medicine,50mg,Capsule,Evans,14582,19820.58,847,86,BT136056,Swiss Pharma Nigeria,A3,2029-04-11
SKU00587,Dorzolamide,General Medicine,100mg,Tablet,Emzor,9078,11748.65,163,76,BT388822,Drugfield Pharmaceuticals,D3,2029-12-14
SKU00588,Flucloxacillin,Antibiotic,1g,Injection,Swiss Pharma,19282,22269.27,551,51,BT714430,Drugfield Pharmaceuticals,D2,2027-03-15
SKU00589,Methotrexate,General Medicine,5mg,Capsule,Fidson,18549,21946.74,575,77,BT517603,Swiss Pharma Nigeria,C2,2029-06-24
SKU00590,Morphine,Analgesic,500mg,Tablet,Pfizer,265,349.72,194,57,BT543954,Emzor Pharmaceuticals,A2,2029-03-26
SKU00591,Tinidazole,Antifungal,200mg,Cream,GSK,11366,14673.69,722,61,BT612844,Evans Medical,C2,2027-01-24
SKU00592,Oxybutynin,General Medicine,25mg,Tablet,Swiss Pharma,15990,18884.51,26,98,BT646557,May & Baker Nigeria,C1,2026-12-18
SKU00593,Pioglitazone,Antidiabetic,850mg,Injection,GSK,19708,30612.63,980,80,BT536513,Emzor Pharmaceuticals,C3,2028-10-16
SKU00594,Phenytoin,Antiepileptic,500mg,Capsule,Evans,3502,4105.41,556,32,BT626244,Emzor Pharmaceuticals,C1,2028-12-07
SKU00595,Sertraline,Psychiatric,5mg,Tablet,Swiss Pharma,14820,20952.65,709,91,BT719091,Emzor Pharmaceuticals,B1,2029-06-09
SKU00596,Allopurinol,General Medicine,25mg,Capsule,Emzor,11500,15894.41,925,42,BT465630,Fidson Healthcare,B1,2027-02-13
SKU00597,Apixaban,Anticoagulant,5mg,Injection,May & Baker,918,1390.94,201,64,BT409744,May & Baker Nigeria,A2,2029-01-30
SKU00598,Escitalopram,Psychiatric,100mg,Tablet,Evans,12455,14771.28,583,92,BT112544,Fidson Healthcare,B2,2028-10-06
SKU00599,Colchicine,General Medicine,25mg,Tablet,Pfizer,468,571.07,155,37,BT713500,May & Baker Nigeria,B3,2027-02-14
SKU00600,Telmisartan,Antihypertensive,50mg,Tablet,May & Baker,7579,11541.18,892,25,BT497827,Evans Medical,B1,2028-09-15
SKU00601,Brimonidine,General Medicine,5mg,Capsule,Pfizer,7192,9063.31,707,70,BT742753,May & Baker Nigeria,D1,2029-07-03
SKU00602,Pyrimethamine,Antimalarial,50mg,Tablet,May & Baker,764,973.76,637,38,BT658465,Swiss Pharma Nigeria,A2,2029-08-16
SKU00603,Pantoprazole,Antifungal,150mg,Tablet,Neimeth,11043,16709.57,387,81,BT465883,Emzor Pharmaceuticals,B3,2028-12-18
SKU00604,Carbimazole,Antifungal,200mg,Cream,Drugfield,19310,27113.56,318,97,BT515381,Swiss Pharma Nigeria,B1,2028-02-11
SKU00605,Losartan,Antihypertensive,100mg,Tablet,Evans,18336,26175.85,891,54,BT926236,Evans Medical,D1,2028-07-02
SKU00606,Isoniazid,Antibiotic,125mg,Injection,Swiss Pharma,10725,15681.27,881,99,BT327560,Fidson Healthcare,C1,2030-05-14
SKU00607,Brimonidine,General Medicine,5mg,Tablet,Juhel,12853,18692.28,243,82,BT969114,Drugfield Pharmaceuticals,D1,2030-02-28
SKU00608,Oxybutynin,General Medicine,50mg,Capsule,Pfizer,763,1083.66,943,91,BT266248,Evans Medical,D3,2028-04-01
SKU00609,Alprazolam,Psychiatric,5mg,Tablet,Swiss Pharma,18186,22530.14,388,63,BT250980,Drugfield Pharmaceuticals,B3,2029-01-21
SKU00610,Pramipexole,General Medicine,5mg,Tablet,Neimeth,7904,12059.64,771,39,BT765693,May & Baker Nigeria,C2,2029-07-17
SKU00611,Levetiracetam,Antiepileptic,200mg,Capsule,Neimeth,18295,21707.6,647,25,BT435699,Evans Medical,D3,2029-08-18
SKU00612,Ferrous Sulphate,General Medicine,10mg,Tablet,Neimeth,11120,15262.89,105,79,BT911565,Evans Medical,B1,2029-09-02
SKU00613,Budesonide,Respiratory,200mcg,Inhaler,Drugfield,14749,19399.23,480,68,BT393573,May & Baker Nigeria,A2,2027-11-26
SKU00614,Finasteride,General Medicine,10mg,Tablet,May & Baker,1891,2942.81,686,87,BT670215,Drugfield Pharmaceuticals,D1,2030-06-24
SKU00615,Vancomycin,Antibiotic,500mg,Suspension,Emzor,1419,1686.31,316,52,BT832895,Fidson Healthcare,A2,2027-11-01
SKU00616,Artemether,Antimalarial,100mg,Injection,May & Baker,8964,10493.37,546,72,BT100463,Emzor Pharmaceuticals,A1,2029-12-15
SKU00617,Clarithromycin,Antibiotic,500mg,Injection,Juhel,4060,5611.2,142,38,BT730218,Evans Medical,D1,2027-11-24
